1,0,50,Sleeping
2,0,50,Sleeping
3,0,50,Sleeping


1,0,56,Sleeping
2,0,56,Sleeping
3,0,56,Sleeping


1,0,57,Sleeping
2,0,57,Sleeping
3,0,57,Sleeping


1,0,57,Sleeping
2,0,57,Sleeping
3,0,57,Sleeping


1,0,58,Sleeping
2,0,58,Sleeping
3,0,58,Sleeping


1,0,58,Sleeping
2,0,58,Sleeping
3,0,58,Sleeping


1,0,58,Sleeping
2,0,58,Sleeping
3,0,58,Sleeping


1,0,59,Sleeping
2,0,59,Sleeping
3,0,59,Sleeping


1,0,59,Sleeping
2,0,59,Sleeping
3,0,59,Sleeping


1,0,60,Sleeping
2,0,60,Sleeping
3,0,60,Sleeping


1,0,60,Sleeping
2,0,60,Sleeping
3,0,60,Sleeping


1,0,60,Sleeping
2,0,60,Sleeping
3,0,60,Sleeping


1,0,61,Sleeping
2,0,61,Sleeping
3,0,61,Sleeping


1,0,61,Sleeping
2,0,61,Sleeping
3,0,61,Sleeping


1,0,62,Sleeping
2,0,62,Sleeping
3,0,62,Sleeping


1,0,62,Sleeping
2,0,62,Sleeping
3,0,62,Sleeping


1,0,62,Sleeping
2,0,62,Sleeping
3,0,62,Sleeping


1,0,63,Sleeping
2,0,63,Sleeping
3,0,63,Sleeping


1,0,63,Sleeping
2,0,63,Sleeping
3,0,63,Sleeping


1,0,64,Sleeping
2,0,64,Sleeping
3,0,64,Sleeping


1,0,64,Sleeping
2,0,64,Sleeping
3,0,64,Sleeping


1,0,64,Sleeping
2,0,64,Sleeping
3,0,64,Sleeping


1,0,65,Sleeping
2,0,65,Sleeping
3,0,65,Sleeping


1,0,65,Sleeping
2,0,65,Sleeping
3,0,65,Sleeping


1,0,66,Sleeping
2,0,66,Sleeping
3,0,66,Sleeping


1,0,66,Sleeping
2,0,66,Sleeping
3,0,66,Sleeping


1,0,66,Sleeping
2,0,66,Sleeping
3,0,66,Sleeping


1,0,67,Sleeping
2,0,67,Sleeping
3,0,67,Sleeping


1,0,67,Sleeping
2,0,67,Sleeping
3,0,67,Sleeping


1,0,68,Sleeping
2,0,68,Sleeping
3,0,68,Sleeping


1,0,68,Sleeping
2,0,68,Sleeping
3,0,68,Sleeping


1,0,68,Sleeping
2,0,68,Sleeping
3,0,68,Sleeping


1,0,69,Sleeping
2,0,69,Sleeping
3,0,69,Sleeping
4,0,69,Sleeping


1,0,69,Sleeping
2,0,69,Sleeping
3,0,69,Sleeping
4,0,69,Sleeping


1,0,70,Sleeping
2,0,70,Sleeping
3,0,70,Sleeping
4,0,70,Sleeping


1,0,70,Sleeping
2,0,70,Sleeping
3,0,70,Sleeping
4,0,70,Sleeping


1,0,70,Sleeping
2,0,70,Sleeping
3,0,70,Sleeping
4,0,70,Sleeping


